tweet_id,created_at,created_at_et,text,tweet_type,counts_for_resolution,in_reply_to_user_id,conversation_id,is_self_reply,like_count,reply_count,retweet_count,quote_count,impression_count,bookmark_count,source,lang
2020912697210961921,2026-02-09T17:28:28.000Z,2026-02-09T12:28:28-05:00,True https://t.co/veiBQrcxw1,quote,True,,2020912697210961921,False,17482,1326,3460,79,1967104,598,,en
2020912555560980634,2026-02-09T17:27:54.000Z,2026-02-09T12:27:54-05:00,RT @ianmiles: The fact that Steve Bannon was a Trump-hating degenerate and an ally who was trying to clear the “good name” of Jeffrey Epste…,retweet,True,,2020912555560980634,False,0,0,689,0,6,0,,en
2020912495381057909,2026-02-09T17:27:40.000Z,2026-02-09T12:27:40-05:00,"In the next few months, we will be doing rigorous security tests of 𝕏 Chat and will open source all the code",original,True,,2020912495381057909,False,125538,6742,8862,970,44901738,4625,,en
2020912085119418738,2026-02-09T17:26:02.000Z,2026-02-09T12:26:02-05:00,Use 𝕏 Chat! https://t.co/LL2Yr2r0s1,quote,True,,2020912085119418738,False,16387,2788,2629,225,2699114,665,,en
2020911928764149999,2026-02-09T17:25:25.000Z,2026-02-09T12:25:25-05:00,@AdamLowisz Bannon’s list of crimes is very long,reply,False,17050482,2020904210171113603,False,8290,508,710,28,133113,77,,en
2020911801773236325,2026-02-09T17:24:54.000Z,2026-02-09T12:24:54-05:00,"RT @AdamLowisz: Given how close Steve Bannon and Epstein were up to Epstein's arrest, Bannon was likely involved in nearly every illegal ac…",retweet,True,,2020911801773236325,False,0,0,667,0,1,0,,en
2020911758072815654,2026-02-09T17:24:44.000Z,2026-02-09T12:24:44-05:00,"RT @cb_doge: BREAKING: Grok has surpassed 2 billion website visits.

The growth continues as Grok recorded a fourth straight month of traff…",retweet,True,,2020911758072815654,False,0,0,466,0,3,0,,en
2020910997683220611,2026-02-09T17:21:43.000Z,2026-02-09T12:21:43-05:00,Bannon is evil https://t.co/f0hNCZR0Rr,quote,True,,2020910997683220611,False,98024,5287,17544,758,13672685,4244,,en
2020910821304352961,2026-02-09T17:21:01.000Z,2026-02-09T12:21:01-05:00,"RT @EvaFox: Elon Musk: The purpose of no voter ID is obviously to conduct fraud in elections  

“The same people that demanded vaccine IDs,…",retweet,True,,2020910821304352961,False,0,0,955,0,5,0,,en
2020910733697954282,2026-02-09T17:20:40.000Z,2026-02-09T12:20:40-05:00,"@farzyness The priority shift is because I’m worried that a natural or manmade catastrophe stops the resupply ships coming from Earth, causing the colony to die out. 

We can make the Moon city self-growing in less than 10 years, but Mars will take 20+ years due to the 26 month iteration",reply,False,17862108,2020883660149338610,False,30144,2463,1689,427,1994722,2030,,en
2020909880358379882,2026-02-09T17:17:16.000Z,2026-02-09T12:17:16-05:00,@CensoredHumans Terrible,reply,False,2309928797,2020850470227505313,False,15703,591,495,20,236469,51,,en
2020909806039584844,2026-02-09T17:16:59.000Z,2026-02-09T12:16:59-05:00,@BigImpactHumans We hope to make the Moon accessible to anyone who wants to go there,reply,False,2961936246,2020900955051450420,False,10780,2270,520,185,441742,199,,en
2020902239506780185,2026-02-09T16:46:55.000Z,2026-02-09T11:46:55-05:00,@rocktstl @farzyness @LimitingThe Exactly,reply,False,1720643450,2020850434831700121,False,567,127,25,6,17898,11,,en
2020900495527702721,2026-02-09T16:39:59.000Z,2026-02-09T11:39:59-05:00,"Indeed, it is the bare minimum for any PM. 

Starmer needs to step up or step out. https://t.co/05nkL5HjK9",quote,True,,2020900495527702721,False,163011,4235,18280,376,21663478,2060,,en
2020899129178644584,2026-02-09T16:34:33.000Z,2026-02-09T11:34:33-05:00,"RT @ThomasSowell: Elon Musk: “The purpose of not voter ID is obviously to conduct fraud in elections.”

https://t.co/JhzObIvgv2",retweet,True,,2020899129178644584,False,0,0,1056,0,24,0,,en
2020899070374502584,2026-02-09T16:34:19.000Z,2026-02-09T11:34:19-05:00,@JonErlichman Tables turn rapidly for those who can’t keep pace technologically,reply,False,164425558,2020861053853176264,False,15522,746,618,49,275396,354,,en
2020879946579644716,2026-02-09T15:18:20.000Z,2026-02-09T10:18:20-05:00,@JoelWBerry 😂,reply,False,31439580,2020862781646393485,False,4412,209,94,7,188429,23,,qme
2020879898726801795,2026-02-09T15:18:08.000Z,2026-02-09T10:18:08-05:00,@Milajoy Hmm,reply,False,1689393367833313286,2020739635010539765,False,11344,280,490,12,92030,47,,und
2020879570489000274,2026-02-09T15:16:50.000Z,2026-02-09T10:16:50-05:00,"RT @RogerJStoneJr: Other than the Founding Fathers, no one has done more for free speech rights, and the first amendment then ⁦@elonmusk⁩ h…",retweet,True,,2020879570489000274,False,0,0,1244,0,5,0,,en
2020878797411668127,2026-02-09T15:13:46.000Z,2026-02-09T10:13:46-05:00,"RT @Milajoy: Elon Musk has figured out the Soros racket.

It doesn’t involve Soros spending his own money. 

It involves Soros making a see…",retweet,True,,2020878797411668127,False,0,0,5193,0,6,0,,en
2020878428430287003,2026-02-09T15:12:18.000Z,2026-02-09T10:12:18-05:00,"RT @Bhupendrapbjp: Happy to share that the Government of Gujarat has exchanged a Letter of Intent with @Starlink, a subsidiary of @SpaceX,…",retweet,True,,2020878428430287003,False,0,0,530,0,7,0,,en
2020878250516341110,2026-02-09T15:11:35.000Z,2026-02-09T10:11:35-05:00,@techdevnotes Yes,reply,False,1604863807574212611,2020870256948867389,False,1199,125,47,11,89237,16,,und
